discount,discount_rate,name,original_price,price,rating_average,review_count,quantity_sold
0,0,"Bộ Nỉ Nam cổ tròn, Chất Nỉ Da Cá Cực Mềm, Dê Chịu, Thoải Mái Cho Nam",189000,189000,0,0,
0,0,"Áo thun nam nữ tay lỡ, áo phông form rộng ATL236",69000,69000,4.7,63,146
0,0,"áo câu cá, hàng đẹp",764160,764160,0,0,
51000,32,Hộp 4 Quần lót nam cao cấp CITYMEN vải thun lạnh,160000,109000,4.6,415,1411
0,0,Áo dài tay cotton nỉ hàng loại 1,18000,18000,0,0,
0,0,"Áo khoác dù nam , áo khác dù nữ , áo khoác gió , áo khoác cặp đôi nam nữ mặc vải dù 2 lớp",88000,88000,4.7,129,304
0,0,"Combo 2 Quần lót nam ,quần sịp nam Tam giác nhật lưới thông hơi thoáng khí kháng khuẩn NO304",84000,84000,0,0,
75000,44,"áo khoác dù chữ Seven zia, áo khoác dù chữ S, áo khoác bomber chữ S tay phối, Áo khoác dù nam nữ mặc / áo khoác gió nam nữ mặc / áo khoác dù kiểu bomber / áo khoác cặp đôi / áo khoác form rộng unisex ullzang",170000,95000,4.5,28,82
0,0,ÁO SƠ MI NAM THÊU 3D HÀN QUỐC(XÃ KHO),101000,101000,0,0,
140000,35,"Áo Sơ Mi Nam Ngắn Tay Kiểu Dáng Cơ Trưởng U886 Thời Trang Hàn Quốc Chất Cotton Pha Lụa Mềm Mại, Thoáng Mát, Chống Nhăn, Trẻ Trung, Năng Động- HÀNG CHÍNH HÃNG",399000,259000,5,89,135
17000,33,"Hộp Quần lót nam cao cấp CITYMEN vải thun lạnh có màu XANH ĐEN, ĐEN, XÁM NHẠT, XÁM ĐẬM - (Giao Màu ngẫu nhiên)",52000,35000,4.5,439,1877
0,0,{SIÊU PHẨM MÙA ĐÔNG} ÁO KHOÁC NAM /ÁO KHOÁC NAM NỈ NGOẠI LÓT LÔNG GIỮ NHIỆT SIÊU ẤM ÁP CHO MÙA ĐÔNG CÓ SIZE 3XL THỜI TRA,169000,169000,3.8,95,291
39000,13,Combo 3 quần đùi thun nam mặc nhà iBasic SHM003,297000,258000,4.6,97,281
0,0,"Quần Jocker ống rộng bo gót in hình Heroes có túi sau sành điệu, quần thun nỉ dài ống rộng nam phong cách Hàn Quốc",95000,95000,4.3,14,31
209000,50,Bộ Quần Áo Nam 4 Màu Sang Trọng Cao Cấp Thời Trang ZERO,418000,209000,4.5,76,253
0,0,Quần thể thao nam jogger kaki mã TT33 thô túi hộp kiểu bó ống Hàn Quốc chất vải đẹp ống dài,79000,79000,1.5,2,5
0,0,"Áo khoác gió bomber nam nữ Tori local brand chất dù 2 lớp form rộng, khoác ulzzang unisex FFSTORE",125000,125000,0,0,
111200,44,"Quần jean nam cao cấp chất bò siêu co dãn Julido, form đứng dáng đẹp mẫu MM07",250200,139000,3.5,150,377
0,0,Áo khoác kaki bomber nam cao cấp kiểu dáng hàn quốc,129000,129000,0,0,
60000,44,"4 Quần Lót Nam lưng Hàn Quốc thun lạnh 4 chiều cao cấp, lưng cao, quần sịp nam thương hiệu CITYMEN ( Giao màu ngẫu nhiên )",136000,76000,4.6,52,119
0,0,Áo khoác nam thể thao Nike Dri-Fit thời trang cao cấp,205000,205000,0,0,
